3.787466298343234428e+01,5.562387842866348819e+01,1.809000000000000057e+02
3.787465903916394439e+01,5.562388019103273962e+01,1.809000000000000057e+02
3.787465319607481007e+01,5.562388296791210252e+01,1.809000000000000057e+02
3.787464827522230593e+01,5.562388543129230101e+01,1.809000000000000057e+02
3.787464261987190639e+01,5.562388852359944735e+01,1.809000000000000057e+02
3.787463938062497704e+01,5.562389031511477810e+01,1.809000000000000057e+02
3.787463419000733467e+01,5.562389328196670846e+01,1.809000000000000057e+02
3.787463088398634881e+01,5.562389547611225282e+01,1.809000000000000057e+02
3.787462582757945029e+01,5.562389868577152185e+01,1.809000000000000057e+02
3.787462243191355782e+01,5.562390103013023435e+01,1.809000000000000057e+02
3.787461818334674035e+01,5.562390407172468088e+01,1.809000000000000057e+02
3.787461466463629023e+01,5.562390671934233666e+01,1.809000000000000057e+02
3.787461053158417457e+01,5.562391013923734562e+01,1.809000000000000057e+02
3.787460777274732493e+01,5.562391238851683539e+01,1.808000000000000114e+02
3.787460403057335157e+01,5.562391581648854810e+01,1.808000000000000114e+02
3.787460165645063626e+01,5.562391795720859733e+01,1.809000000000000057e+02
3.787459834353283128e+01,5.562392111724729205e+01,1.808000000000000114e+02
3.787459579859687153e+01,5.562392385346711166e+01,1.809000000000000057e+02
3.787459278479948921e+01,5.562392703419271101e+01,1.809000000000000057e+02
3.787459089549822266e+01,5.562392940800540231e+01,1.808000000000000114e+02
3.787458810414914723e+01,5.562393276189358460e+01,1.809000000000000057e+02
3.787458639329103249e+01,5.562393495884796835e+01,1.809000000000000057e+02
3.787458403501425863e+01,5.562393834303544082e+01,1.808000000000000114e+02
3.787458247898082675e+01,5.562394053337666122e+01,1.808000000000000114e+02
3.787458018947069860e+01,5.562394388431872017e+01,1.808000000000000114e+02
3.787457910760884516e+01,5.562394610616488677e+01,1.808000000000000114e+02
3.787457700284818429e+01,5.562394960832009616e+01,1.808000000000000114e+02
3.787457587532201586e+01,5.562395164735413999e+01,1.808000000000000114e+02
3.787457427032485668e+01,5.562395513094036659e+01,1.808000000000000114e+02
3.787457319218440688e+01,5.562395744762849148e+01,1.808000000000000114e+02
3.787457201746553892e+01,5.562396078596907500e+01,1.808000000000000114e+02
3.787457120824373646e+01,5.562396278295131680e+01,1.808000000000000114e+02
